"ID","Titulli i librit","Autori","Sasia","Vendndodhja","Lloji"
"1354","Abeli","Ethem Haxhiademi","2","Dollapi 7",""
"1355","Motër e dashur","Arsinoi Bino","3","Dollapi 7",""
"1356","Vite pa thirrje","Agim Shehu","2","Dollapi 7",""
"1357","Koha e komisarëve","Todi Thanasi","3","Dollapi 7",""
"1358","Gjaku i Arbërit","Fadil Kraja","3","Dollapi 7",""
"1359","Zemra nuk është këmishë","Teodor Keko","3","Dollapi 7",""
"1360","Futa","Sabri Hamiti","3","Dollapi 7",""
"1361","Koha e dritës","Sheri Mita","3","Dollapi 7",""
"1362","Shtatë shaljanët","Ndrekw Luca","2","Dollapi 7",""
"1363","Drama","Loni Papa","1","Dollapi 7",""
"1364","Fabula","","1","Dollapi 7",""
"1365","Me jetën  dashuruar","Lili Setillari","1","Dollapi 7",""
"1366","Shoku Ndricim hapi kasafortën","Rozi Theohari","1","Dollapi 7",""
"1367","Kështjella mbi basbanë","Januz Dini","1","Dollapi 7",""
"1368","Dy të plakur unë dhe Mefistofeli","Bashkim Hoxha","1","Dollapi 7",""
"1369","Mrika","Llazar Siliqi","1","Dollapi 7",""
"1370","Vatra e huaj","Ndrekw Luca","1","Dollapi 7",""
"1371","Në emër të lumturisë","Ismail Hoxha","1","Dollapi 7",""
"1372","Drama","Fadil Kraja","1","Dollapi 7",""
"1373","Përmbytja","Bardhok Sulejmani","1","Dollapi 7",""
"1374","Komunisti","Bardhok Sulejmani","1","Dollapi 7",""
"1375","Tek ky themel","Miliano Stefa","1","Dollapi 7",""
"1376","Zambaku im","Gjokë Beci","1","Dollapi 7",""
"1377","Nesër ju them gjysmën e mbetur","Artan Alimeta","1","Dollapi 7",""
"1378","Fund shpirti","Qazim Shehu","1","Dollapi 7",""
"1379","Elira","Jonuz Pini","1","Dollapi 7",""
"1380","Rritja","Jonuz Drini","1","Dollapi 7",""
"1381","Anëdet","Niko Kocalidha","1","Dollapi 7",""
"1382","Mes njerëzve","Llambro Ruçi","1","Dollapi 7",""
"1383","Pesë qortimet","Agim Shehu","1","Dollapi 7",""
"1384","Shtëpia e lepujve","Zija Çeja","1","Dollapi 7",""
"1385","Kujtesa e ajrit","Visar Zhiti","4","Dollapi 7",""
"1386","A thua do vish duke qeshur","Preç Zogaj","3","Dollapi 7",""
"1387","Rrugë për larg","Vath Koreshi","3","Dollapi 7",""
"1388","Poezia shqipe","Lirim Deda","3","Dollapi 7",""
"1389","Pranvera e pozicioneve","Kujtim Halili","2","Dollapi 7",""
"1390","Jehona e kohës","Mark Krasniqi","1","Dollapi 7",""
"1391","Përsëri në udhë","Koci Petriti","2","Dollapi 7",""
"1392","Kur dola në jetë","Tasim T. Aliaj","1","Dollapi 7",""
